udpmlgcs,vwDimServiceRequestEntityExtended,AppName,"Derived attribute using msdfm_issuecontext column coming from caseRestrictedAttribures entity coming from dynamics source.
Logic: using split via new line we obtain Key-Value pair. Value corresponding to Key AppName is picked",Arkes,Updated as per L3 comment,,Sundar,Ok,Davitt,"Not a decode logic
You can replace: 
""Derived by applying decode logic....""  -->  ""Derived attribute using...... """,Ok,,,,Attribute,
udpmlgcs,vwDimServiceRequestEntityExtended,ThemeName,"Derived attribute using msdfm_issuecontext column coming from caseRestrictedAttribures entity coming from dynamics source.
Logic: using split via new line we obtain Key-Value pair. Value corresponding to Key Theme is picked",Arkes,Updated as per L3 comment,,Sundar,Ok,Davitt,ref rno - 16,Ok,,,,Attribute,
udpmlgcs,vwDimServiceRequestEntityExtended,ThemeL1,"Derived attribute using msdfm_issuecontext column coming from caseRestrictedAttribures entity coming from dynamics source.
Logic: using split via new line we obtain Key-Value pair. Value corresponding to Key ThemeL1 is picked",Arkes,Updated as per L3 comment,,Sundar,Ok,Davitt,ref rno - 16,Ok,,,,Attribute,
udpmlgcs,vwDimServiceRequestEntityExtended,ThemeL2,"Derived attribute using msdfm_issuecontext column coming from caseRestrictedAttribures entity coming from dynamics source.
Logic: using split via new line we obtain Key-Value pair. Value corresponding to Key ThemeL2 is picked",Arkes,Updated as per L3 comment,,Sundar,Ok,Davitt,ref rno - 16,Ok,,,,Attribute,
udpmlgcs,vwDimServiceRequestEntityExtended,ThemeL3,"Derived attribute using msdfm_issuecontext column coming from caseRestrictedAttribures entity coming from dynamics source.
Logic: using split via new line we obtain Key-Value pair. Value corresponding to Key ThemeL3 is picked",Arkes,Updated as per L3 comment,,Sundar,Ok,Davitt,ref rno - 16,Ok,,,,Attribute,
udpmlgcs,vwDimServiceRequestEntityExtended,UserLCID,"Derived attribute using msdfm_issuecontext column coming from caseRestrictedAttribures entity coming from dynamics source.
Logic: using split via new line we obtain Key-Value pair. Value corresponding to Key UserLcid is picked",Arkes,Updated as per L3 comment,,Sundar,Ok,Davitt,ref rno - 16,Ok,,,,Attribute,
udpmlgcs,vwDimServiceRequestEntityExtended,Modality,"Derived attribute using msdfm_issuecontext column coming from caseRestrictedAttribures entity coming from dynamics source.
Logic: using split via new line we obtain Key-Value pair. Value corresponding to Key Modality is picked",Arkes,Updated as per L3 comment,,Sundar,Ok,Davitt,ref rno - 16,Ok,,,,Attribute,
udpmlgcs,vwDimServiceRequestEntityExtended,WaitTime,"Derived attribute using msdfm_issuecontext column coming from caseRestrictedAttribures entity coming from dynamics source.
Logic: using split via new line we obtain Key-Value pair. Value corresponding to Key WaitTime is picked",Arkes,Updated as per L3 comment,,Sundar,Ok,Davitt,ref rno - 16,Ok,,,,Attribute,
udpmlgcs,vwDimServiceRequestEntityExtended,SubjectId,"Derived attribute using msdfm_issuecontext column coming from caseRestrictedAttribures entity coming from dynamics source.
Logic: using split via new line we obtain Key-Value pair. Value corresponding to Key SubjectId is picked",Arkes,Updated as per L3 comment,,Sundar,Ok,Davitt,ref rno - 16,Ok,,,,Attribute,
udpmlgcs,vwDimServiceRequestEntityExtended,TimezoneOffsetInMinutes,"Derived attribute using msdfm_issuecontext column coming from caseRestrictedAttribures entity coming from dynamics source.
Logic: using split via new line we obtain Key-Value pair. Value corresponding to Key TimezoneOffsetInMinutes is picked",Arkes,Updated as per L3 comment,,Sundar,Ok,Davitt,ref rno - 16,Ok,,,,Attribute,
udpmlgcs,vwDimServiceRequestEntityExtended,SupportAreaName,"Derived attribute using msdfm_issuecontext column coming from caseRestrictedAttribures entity coming from dynamics source.
Logic: using split via new line we obtain Key-Value pair. Value corresponding to Key SupportAreaName is picked",Arkes,Updated as per L3 comment,,Sundar,Ok,Davitt,ref rno - 16,Ok,,,,Attribute,
udpmlgcs,vwDimServiceRequestEntityExtended,ISOCallingCode,"Derived attribute using msdfm_issuecontext column coming from caseRestrictedAttribures entity coming from dynamics source.
Logic: using split via new line we obtain Key-Value pair. Value corresponding to Key ISOCallingCode is picked",Arkes,Updated as per L3 comment,,Sundar,Ok,Davitt,ref rno - 16,Ok,,,,Attribute,
udpmlgcs,vwDimServiceRequestEntityExtended,CSSCreatedDateTime,Timestamp in UTC at which record is inserted by ETL process in UDP,Arkes,,,Sundar,Ok,Davitt,,Ok,,,,Attribute,
udpmlgcs,vwDimServiceRequestEntityExtended,CSSLastUpdatedDateTime,Timestamp in UTC at which record is updated by ETL process in UDP,Arkes,,,Sundar,Ok,Davitt,,Ok,,,,Attribute,
